Name,Cost_for_2,Address,About,Type,Facilities,Contact,Cuisine,Latitude,Longitude,Stars,Vote_Count,Review_Count
Local,1800,"Scindia House, 11, Ground Floor, Atmaram Mansion Connaught Place Near Gitanjali Jewellery Central Delhi 110001","Local, situated in the heart of the capital, is a colossal beauty for all party lovers. It is the epitome of class and elegance, with interiors adorned by paintings of monuments in Delhi, the space is just beautiful. Serving some of the best North Indian and Continental dishes from its affordable menu, Local makes it a worthwhile visit for one and all. The exclusive bar menu also offers an array of drinks and fine spirits to choose from. Be it getting into the party zone or spending some good time with your friends or unwinding with your colleagues, Local is where you can head to for some unadulterated happiness! The additional feature is the DJ nights hosted there which makes everyone groove on the dance floor. Local is located in Scindia House in Connaught Place, Delhi. Read less","Happy Hours, Dineout Pay, Casual Dining, Nightlife, Bar, Future Vouchers, Safe To Eat Out, Delhi Operational, Hottest in Town","['Ghar Ki Baat, Botalan Sharab Diyanm Paan Cosmo, Local Liit, Chai Ka Punch, Aam Mojito, Punjabi Old Fashon, Lebanese Inhouse,Farmer Vegetable Pizza,Loaded Cheese Nachos,Himachali Tawa Chicken,Murg Keema Makhan Pao,Fish Finger Skewars']",09599553145,"['North', 'Indian,', 'Italian,', 'Continental,', 'Asian,', 'Fast', 'Food']",28.630053,77.221065,4.1,2464,253
Tamasha,2000,"28 , Kasturba Gandhi Marg Connaught Place Near HDFC Bank Central Delhi 110001","Tamasha is one of the most popular places to hang out in Heart of Delhi-CP. This Restaurant has Distinct Seating Areas including a Courtyard, Ground Floor, First Floor, Backyard and an Amazing Rooftop over spacious ambience. Tamasha offers multi-cuisine dishes from North Indian, Italian, Continental and Asian cuisines and an array of Finger Food. Tamasha is an ideal place for a Night Out Friends or good times with Family Members. The eye-catching bar is built to resemble Optimus Prime, a fictional character from the Transformers Franchise. This is a super awesome place which is definitely worth going for one and all! Read less","Happy Hours, Lounge, Dineout Pay, Casual Dining, Nightlife, BOGO Food and Drinks, Bar, Safe To Eat Out, Delhi Operational","['Dahi Kebab, Dragon Roll, Alfredo Penne,Golden Prawns, Phuket Fish, Chicken Chettinad']",09999477661,"['Continental,', 'Finger', 'Food,', 'North', 'Indian,', 'Italian,', 'Asian']",28.629487,77.221558,4.2,5074,473
The Junkyard Cafe,1800,"91, 2nd Floor, Block N, Outer Circle Connaught Place Opposite Sciendhia House Central Delhi 110001","The Junkyard Cafe is a small chain of casual dining resto-bars and lounges offering a rustic yet vibrant ambiance along with an eclectic bar menu serving an array of drinks and spirits making it a perfect place for people to enjoy the nightlife. The place offers an extensive food menu which is in line with the varied tastes and preferences of the diners and serves a variety of delicious Indian, Asian, and Mediterranean delicacies. The exclusive Hookah menu offers a range of flavorful and aromatic Sheeshas. This outlet is located in N Block, Connaught Place. The lounge provides a quirky environment with casual, colorful, and comfortable lounge and chairs. The additional feature is the beautiful open terrace area where one can have sumptuous food and amazing drinks while enjoying a spectacular view of the city. Read less","Happy Hours, Lounge, Dineout Pay, Nightlife, Bar, Future Vouchers, Safe To Eat Out, Delhi Operational, Hottest in Town","['Bourbon Wreckage Fluid, Floral Salvage Fluid, Metal Bender, Maple Wood Salvage Fluid, English Central Monitor']",011-9599947642,"['North', 'Indian,', 'Mediterranean,', 'Asian,', 'Italian,', 'Oriental']",28.630223,77.220512,4.1,2850,370
The G.T. ROAD,1800,"M- Block, 39, Outer Circle Connaught Place Near HDFC Bank Central Delhi 110001","One of the best multi-cuisine restaurants in Connaught Place, The GT Road takes one on a gastronomic...  Read more","Happy Hours, Buffet, Lunch Buffet, Dinner Buffet, Dineout Pay, Casual Dining, GIRF Awards 2020, Delhi Operational","['GTR Flavored Mojitos, Vodka Shikanji, Jamun-tini, Imli Margarita, Sharabi Lassi, Masala Chai Rum']",09871121428,"['North', 'Indian']",28.633195,77.222756,4.3,2420,358
Unplugged Courtyard,2000,"L 23/7, Middle Circle Connaught Place Near Odeon Cinema Central Delhi 110001",Unplugged Courtyard is a specialty restaurant that is located in Connaught Place. It is a place for people who like to stick to their favorite cuisine and do not like to experiment much. Unplugged Courtyard respects their choice by offering well-prepared and mouth-watering North Indian and Continental cuisine. The place also holds a subtle ambiance paired up with a splendid outdoor seating that makes sure you land up at the same place when it comes to having your favorite cuisine in the most authentic form. An addition to the offering is a collection of signature spirits and a soothing live music. The nearest landmark is Odeon Cinema. Read less,"Dineout Pay, Casual Dining, Nightlife, Bar, Safe To Eat Out, Delhi Operational","['Smoking Area', 'Air Conditioned', 'Wifi', 'Valet Available', 'Serves Alcohol', 'Parking', 'Live Performance', 'Cards Accepted', 'Amex Accepted', 'Full Bar Available', 'Outdoor Seating', 'Screening']",09999396661,"['North', 'Indian,', 'Continental']",28.634146,77.221615,4.1,1845,211
Ardor 2.1 Restaurant and Lounge,2000,"N-55-56 & 88-89, 1st & 2nd Floor, Outer Circle Connaught Place Opposite Scindia House Central Delhi 110001",Ardor 2.1 Restaurant and Lounge is a multi-cuisine casual dining restaurant with a classic aura pair...  Read more,"Lounge, Dineout Pay, Casual Dining, Nightlife, Bar, Future Vouchers, Safe To Eat Out, Delhi Operational","['Modi Ji 56 Inch Thali, United India Thali']",09810187088,"['Multi-Cuisine,', 'North', 'Indian,', 'Italian,', 'Chinese,', 'Continental,', 'Seafood']",28.630151,77.220102,3.9,1419,321
The Darzi Bar & Kitchen,2000,"55, 1st Floor, H Block, Connaught Circus Connaught Place Next To Canara Bank Central Delhi 110001","The Darzi Bar & Kitchen is located in the heart of Delhi and is a place where you will get a variety of drinks and an amazing ambience. Put in simpler terms, what fashion is to a Tailor, cocktails are to Darzi! Enjoy tailor-made cocktails and a splendid culinary experience with exquisite Multi cuisines at The Darzi Bar & Kitchen. Read less","Happy Hours, Lounge, Pub, Dineout Pay, Nightlife, Bar, Safe To Eat Out, Delhi Operational, Hottest in Town","['Souvide nalli nihari, Souvide pork belly, Darzi masala Raan, Darzi trout fish, Kerala fish curry, Chicken taka tak, Curry pizzas, Kandhari paneer Tikka, Amristari thali, ISBT Makhani Maggi, Pineapple halwa']",09311714704,"['Multi-Cuisine,', 'North', 'Indian,', 'Italian,', 'Continental,', 'Mexican,', 'European,', 'Asian,', 'Oriental']",28.6353,77.2186,4.1,1670,414
Station Bar,2000,"F-Block, 60, 2nd Floor Connaught Place Near Sony Digital Centre Central Delhi 110001","Station Bar is a one-stop destination for people who want to have a fun time with their families and friends. The eye-catching colorful decor just does not ends there. We have a spectacular outdoor seating for romantic evenings. The lounge has an affordable menu that offers North Indian, Continental, Mediterranean, Oriental and Italian cuisines that you will simply savor and crave for more. The nearest landmark is Sony Digital Centre. Read less","Happy Hours, Lounge, Dineout Pay, BOGO Food and Drinks, Bar, Future Vouchers, Safe To Eat Out, Delhi Operational, Hottest in Town","['Grilled Chicken Breast with Mushroom & Peppercorn Sauce, Grilled Fish with Lemon Caper Sauce, Pan Seared Sole Black Pepper Sauce, New York Cheese Cake']",08750102000,"['Multi-Cuisine,', 'North', 'Indian,', 'Italian,', 'Continental,', 'Mediterranean,', 'Oriental']",28.631069,77.219786,4.1,2459,546
My Bar Square,1500,"E-34 & 35, 1st Floor, Inner Circle Connaught Place Near Rajiv Chowk Metro Station Gate 4 Central Delhi 110001","My Bar Square is a place where you will get a variety of drinks and a rocking and awesome ambiance. This place is a hit amongst youngsters and amongst people who wants to experience the nightlife. My Bar Square has a budget-friendly menu and serves multiple cuisines. It is a place which is considered as heaven for all the bar lovers as it gives unlimited happiness without hurting your pocket. For all music lovers and for people who like to groove and move, there is no better place than My Bar Square. The outlet is located in Connaught Place, Delhi. Read less","Lounge, Dineout Pay, Bar, Safe To Eat Out, Delhi Operational, Hottest in Town","['Smoking Area', 'Air Conditioned', 'Wifi', 'Home Delivery', 'Parking', 'Take Away', 'Live Performance', 'Cards Accepted', 'Full Bar Available', 'Screening']",07011397919,"['Finger', 'Food,', 'Italian,', 'Chinese,', 'Continental']",28.632975,77.221552,3.9,527,65
Ghoomar Traditional Thali Restaurant,1000,"K 43, 1st Floor, Connaught Circle Connaught Place Near Gospel Hall Central Delhi 110001","Ghoomar Traditional Thali Restaurant is located at Connaught Place, Central Delhi. Its ambiance is very traditional and it makes you feel as if you are in Rajasthan. There is a high level of hygiene maintained inside the restaurant. The staff is very humble and make sure that you eat to your heart’s content. The food is prepared using the best of the ingredients. Ghoomar Traditional Thali Restaurant serves fantastic delectable Rajasthani thali. Read less","Pure Veg, Dineout Pay, Casual Dining, Delhi Operational, Hottest in Town","['Air Conditioned', 'Home Delivery', 'Parking', 'Take Away', 'Cards Accepted', 'Wallet Accepted']",09810703703,['Rajasthani'],28.634868,77.220131,4.2,753,210
